"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedConfigurationAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
91b66052-e53b-47c5-915d-b6b0438cb091,Threshold_Type__c,Static Value,equals,a45bed69-af5f-4668-be53-bbf1791d0388,"#N/A","#N/A","#N/A","#N/A",Discount
9213d199-fbec-4176-8257-17d43b93098b,Lower_Bound_Percent__c,Field Value,greater or equals,ae5b8c28-ff93-40c9-af24-d60f63fba585,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
922cff04-16e4-4206-acd2-bce51bdd5b82,Threshold_Type__c,Static Value,equals,43e9f902-270f-41cb-8801-f6d540d4c00f,"#N/A","#N/A","#N/A","#N/A",Discount
93bf1284-4d61-43ae-a2b8-7d018380a64c,Role__c,Field Value,equals,61596c48-d516-426f-a35f-f75552a7a490,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
9abff368-bcf9-4c3c-a808-58f2221037d2,Threshold_Type__c,Static Value,equals,44d27735-6eba-4afb-8c78-a35c3ccf5bf7,"#N/A","#N/A","#N/A","#N/A",Discount
9c4b674c-78f9-40fb-a8b8-4834c2cedb31,Approval_Level__c,Static Value,equals,4a1460f8-db61-46f5-94c5-d71006f61c2a,"#N/A","#N/A","#N/A","#N/A",1
9cdc1c6e-e680-4021-9f89-60881e0252fd,Engineering_Options__c,Field Value,equals,38427fe3-ce7d-4204-b425-e992b504c3fc,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
9d1bbbfe-95ff-427c-a8b6-bff22ed00b67,Product__c,Field Value,equals,0e402152-d4fc-4e13-af2e-70248ca95295,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
a174344c-7323-4e2f-b72e-6aad8a832c0e,Product__c,Field Value,equals,8f0bf237-ad59-43f0-ab3d-ceda03b348a9,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
a225d68b-725b-4454-bad6-20eba9f67862,Role__c,Field Value,equals,38427fe3-ce7d-4204-b425-e992b504c3fc,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
a2a890e3-e06e-4173-9d51-f73b41a26988,Approval_Level__c,Static Value,equals,24ce5f66-d1a8-439b-a728-a60ee5cbf2da,"#N/A","#N/A","#N/A","#N/A",3
a3b79066-37a0-460b-bc89-a33bbf8d35ac,Approval_Level__c,Static Value,equals,341fb15e-559f-4ae5-8073-265c75022f5e,"#N/A","#N/A","#N/A","#N/A",1
a60d940b-a176-4436-8590-431ddbaeff0a,Product__c,Field Value,equals,6a25804c-72ee-47d5-b000-a9f1bc87e0ab,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
a94b53c3-ed6e-448f-ac63-f9ec346ae612,Product__c,Field Value,equals,134476a1-43f8-4de4-bad0-c3107f6676da,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
ad970e35-6533-438f-873c-df73ba37d393,Product__c,Field Value,equals,d49996f4-902b-442e-b2ea-b319629d863d,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
ada9e2e3-fe9c-49c0-8507-6332ee900ad0,Product__c,Field Value,equals,a770d143-e8de-4cb7-b158-ca1489cf8132,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
af15bc4a-d33e-4f06-8268-e1fc30a74e47,Upper_Bound_Percent__c,Field Value,less than,44d27735-6eba-4afb-8c78-a35c3ccf5bf7,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
af389549-62c9-4a40-91ef-a559bf8f4349,Approval_Level__c,Static Value,equals,f6970ff7-2240-422e-8c33-43ed6163835e,"#N/A","#N/A","#N/A","#N/A",3
b063bb36-67ee-472d-ae1a-7d0081bbd58b,Approval_Level__c,Static Value,equals,fc51d972-cc12-41db-9a0d-329841f6a972,"#N/A","#N/A","#N/A","#N/A",2
b08a51ed-128b-4598-b561-736c23738d17,Product__c,Field Value,equals,e4bab9ba-ebde-4cb4-bd3b-cb79a0a6f0b1,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
b0eea9f2-dfff-4423-bdc8-b45c67680dea,Product__c,Field Value,equals,44d27735-6eba-4afb-8c78-a35c3ccf5bf7,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
b63e720c-5d3b-4877-abde-a9c46fa72dea,Upper_Bound_Percent__c,Field Value,less than,cdec61d1-7252-499e-841a-fa5a43a6f1bf,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
ba2f0ad2-54e5-4b33-82ba-25b215d50bfb,Engineering_Options__c,Field Value,equals,f45e22db-8320-4823-9b28-b2b71b5bf6ea,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
bbc49ac6-af17-48bc-8879-33c4d17a054e,Role__c,Field Value,equals,d92cd1a8-0687-4916-9651-1642e4b90baa,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
bde6a015-56c2-49e6-8fc4-ca9b098c5516,Approval_Level__c,Static Value,equals,d49996f4-902b-442e-b2ea-b319629d863d,"#N/A","#N/A","#N/A","#N/A",1
c04fbbb3-62c4-4bc8-a229-bf481267740c,Product__c,Field Value,equals,9fcd0d34-2f1c-477a-8af9-167a7616e84a,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
c544251d-20c7-43b3-b443-45da1b51e149,Engineering_Options__c,Field Value,equals,5f655381-0e16-4ba0-b7bb-b7ca99ab9207,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
d281aee7-d099-4f1d-8141-3c2b74a4558c,Lower_Bound_Percent__c,Field Value,greater or equals,a45bed69-af5f-4668-be53-bbf1791d0388,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
d2d50393-1bdf-40b7-bc63-bdee8e823ae7,Product__c,Field Value,equals,5ae0143a-97dd-4fd3-98e3-95a7b2f41beb,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
d4f818c3-9e04-4cbd-b07e-48c0ce2204c4,Approval_Level__c,Static Value,equals,9a9e9e4d-243d-4c2b-b4eb-19370c786dfb,"#N/A","#N/A","#N/A","#N/A",3
d7273a0e-b72b-4c0e-ae09-236a414149db,Approval_Level__c,Static Value,equals,c3ff8eee-d751-4c8e-b572-bf450242b6c6,"#N/A","#N/A","#N/A","#N/A",2
d98f5fb4-a861-4376-a917-fc96774309ff,Engineering_Options__c,Field Value,equals,d92cd1a8-0687-4916-9651-1642e4b90baa,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
dd50904a-8742-4e9c-bb32-ed3a57cb1010,Resource_Location__c,Field Value,equals,69341a66-7f26-443e-8579-a9a9e87e764e,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
decfe3a3-d41e-44bc-b83e-6b53b23b64db,Product__c,Field Value,equals,c3ff8eee-d751-4c8e-b572-bf450242b6c6,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
