"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
83680332-fe2c-4379-b148-54a10d316963,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,44d27735-6eba-4afb-8c78-a35c3ccf5bf7,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
85432324-d58b-4ddc-bf43-1f898dac1603,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",0e7c6200-df6e-455e-8f09-04accc693c21,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
8d637437-4440-417e-b148-2c4f5c88e280,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",5fa769f4-b146-474d-9e5b-dd16e954f929,"#N/A","#N/A",Quote,"#N/A",4
9918aa21-a84e-45af-bcf3-64a9695d82bb,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",37ea0301-4cbb-4d6e-8b42-2033f3502776,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
99930df6-380a-4110-958a-84a187fe181d,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",38c3919d-f4a4-4c34-a714-a60caab0c169,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
9a9cbc4a-a103-406f-afad-c48614fbb479,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,43e9f902-270f-41cb-8801-f6d540d4c00f,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
9fdfecd8-018c-4d6b-b973-119ebae741f5,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",8c182b35-7249-457f-a7df-0e920c7ec784,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
a22c3757-3e8e-4a53-a298-19be34e93444,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",6f45202e-3d45-4de5-877d-4bcf831de910,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
a30a0b20-1bc9-47fa-a994-834ab51cb85d,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,3a914e66-ba19-4713-9ade-f8a6113b747a,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
aa8a7429-7d1b-4a41-b8b2-cfd6d6539843,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",bedd5305-e60b-4612-a248-a91065fc7f73,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
